psraid,cregion,q1,q2,q45,sex,recage,receduc,racethn2,party,partyln,weight,llweight,cellweight
201290,South,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,4.962962963,0,1.391304348
201295,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,18-24,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),8.296296296,0,2.673913043
201298,Northeast,Approve,Not so strongly,Approve,Female,18-24,HS grad or less,White~Hisp,Democrat,NA,6.074074074,0,3.47826087
201315,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Male,55-64,Coll+,White~Hisp,Democrat,NA,1,0,1
201372,South,Approve,Not so strongly,Don't know/Refused (VOL.),Male,25-34,Coll+,White~Hisp,Independent,Republican,3.444444444,0,1
201391,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Independent,Republican,2.074074074,0,1.347826087
201397,South,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Democrat,5.851851852,0,1.847826087
201403,Midwest,Approve,Very strongly,Approve,Male,65+,HS grad or less,White~Hisp,Democrat,NA,4.666666667,0,2.782608696
201404,South,Approve,Very strongly,Don't know/Refused (VOL.),Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.555555556,0,1.5
201411,South,Approve,Very strongly,Approve,Male,65+,Coll+,Black~Hisp,Democrat,NA,1.37037037,0,1
201412,West,Approve,Very strongly,Approve,Male,35-44,Coll+,White~Hisp,Democrat,NA,4.518518519,0,1.869565217
201454,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,4.703703704,0,2.195652174
201467,South,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,2.62962963,0,2.369565217
201477,South,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Independent,Republican,1.37037037,0,1
201481,South,Disapprove,Very strongly,Disapprove,Female,25-34,HS grad or less,"Hisp, born outside US",Independent,Republican,8.296296296,0,3.369565217
201493,Northeast,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,5.37037037,0,2.543478261
201494,South,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Independent,Republican,3.037037037,0,3.565217391
201523,South,Approve,Not so strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.62962963,0,1.717391304
201531,Northeast,Approve,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,2.666666667,0,1.543478261
201544,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.814814815,0,1.695652174
201545,Midwest,Approve,Not so strongly,Approve,Male,65+,Some coll/Assoc degree,Other,Democrat,NA,2.037037037,0,2.434782609
201577,South,Disapprove,Very strongly,Disapprove,Male,18-24,Coll+,White~Hisp,Independent,Republican,2.888888889,0,1
201585,Midwest,Approve,Not so strongly,Disapprove,Female,25-34,HS grad or less,"Hisp, born outside US",Republican,NA,6.703703704,0,3.97826087
201603,Northeast,Approve,Not so strongly,Disapprove,Male,18-24,HS grad or less,"Hisp, born in US",Republican,NA,4.444444444,0,1.913043478
201622,South,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),4.111111111,0,1.717391304
201630,South,Approve,Very strongly,Approve,Male,45-54,Coll+,White~Hisp,Democrat,NA,2.37037037,0,1.086956522
201635,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.703703704,0,3.97826087
201649,Midwest,Approve,Very strongly,Disapprove,Female,18-24,Some coll/Assoc degree,Other,Democrat,NA,7.259259259,0,2.217391304
201652,Midwest,Disapprove,Very strongly,Disapprove,Female,25-34,HS grad or less,White~Hisp,Republican,NA,8.296296296,0,3.97826087
201665,Northeast,Approve,Not so strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Democrat,NA,5.925925926,0,3.934782609
201683,South,Don't know/Refused (VOL.),NA,Approve,Male,65+,Coll+,White~Hisp,Independent,Republican,1.925925926,0,1.217391304
201690,Northeast,Approve,Not so strongly,Approve,Female,55-64,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),3.037037037,0,1.891304348
201695,Midwest,Disapprove,Very strongly,Approve,Female,45-54,HS grad or less,White~Hisp,Independent,Republican,3.259259259,0,1.608695652
201709,South,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.592592593,0,1.173913043
201722,Northeast,Approve,Not so strongly,Approve,Male,55-64,HS grad or less,White~Hisp,Independent,Democrat,3,0,3.717391304
201735,Northeast,Disapprove,Very strongly,Disapprove,Female,DK/Ref,Coll+,White~Hisp,Other party (VOL.),Republican,2.518518519,0,2.260869565
201769,Midwest,Approve,Not so strongly,Approve,Female,25-34,Coll+,White~Hisp,Democrat,NA,5.888888889,0,2
201803,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Republican,2.703703704,0,1.804347826
201804,Northeast,Approve,Not so strongly,Approve,Male,65+,Coll+,Black~Hisp,Democrat,NA,1.444444444,0,1.326086957
201805,Northeast,Approve,Not so strongly,Approve,Male,25-34,Coll+,White~Hisp,Democrat,NA,4.62962963,0,1.739130435
201826,Northeast,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,Black~Hisp,Democrat,NA,4.111111111,0,2.543478261
201827,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,Other,Republican,NA,1.148148148,0,1.108695652
201841,Northeast,Approve,Not so strongly,Approve,Male,65+,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.666666667,0,1.760869565
201847,Northeast,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,"Hisp, born in US",Democrat,NA,4.62962963,0,1.847826087
201852,South,Disapprove,Very strongly,Don't know/Refused (VOL.),Male,65+,HS grad or less,White~Hisp,Independent,Democrat,4.074074074,0,2.608695652
201898,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,35-44,Some coll/Assoc degree,White~Hisp,No preference (VOL.),Democrat,4.407407407,0,2.217391304
201933,Northeast,Approve,Not so strongly,Approve,Male,35-44,Coll+,White~Hisp,Democrat,NA,5.296296296,0,2.043478261
201937,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,4.296296296,0,2.239130435
201956,South,Approve,Very strongly,Approve,Female,DK/Ref,Some coll/Assoc degree,Other,Independent,Other/Don't know/Refused (VOL.),4.444444444,0,1.608695652
201962,South,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.333333333,0,1.52173913
201974,South,Approve,Very strongly,Approve,Female,25-34,Coll+,"Hisp, born in US",Democrat,NA,6.666666667,0,1.826086957
201984,South,Approve,Very strongly,Approve,Female,18-24,HS grad or less,Other,Independent,Democrat,7.703703704,0,2.347826087
201995,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Republican,4.777777778,0,2.043478261
202006,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1.037037037,0,1.02173913
202011,South,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,3.037037037,0,1.108695652
202027,South,Approve,Very strongly,Approve,Female,65+,Coll+,Black~Hisp,Democrat,NA,1.185185185,0,1.869565217
202035,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1.740740741,0,1.086956522
202051,South,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Republican,NA,5.814814815,0,3.217391304
202067,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Independent,Republican,4.555555556,0,3.326086957
202071,West,Approve,Not so strongly,Disapprove,Male,25-34,Coll+,Other,Republican,NA,4.222222222,0,1.326086957
202077,South,Approve,Not so strongly,Approve,Female,45-54,Some coll/Assoc degree,"Hisp, born in US",Democrat,NA,7,0,3.760869565
202082,South,Disapprove,Not so strongly,Disapprove,Male,18-24,HS grad or less,White~Hisp,Republican,NA,4.925925926,0,1.673913043
202087,Midwest,Disapprove,Very strongly,Disapprove,Male,25-34,Some coll/Assoc degree,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),8.296296296,0,2.739130435
202089,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Independent,Republican,4.111111111,0,1.369565217
202095,South,Approve,Don't know/Refused (VOL.),Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,3.333333333,0,1.130434783
202100,South,Approve,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Female,55-64,HS grad or less,Black~Hisp,Republican,NA,5.481481481,0,3.847826087
202112,Midwest,Approve,Not so strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,3.407407407,0,3.97826087
202113,South,Approve,Very strongly,Approve,Female,18-24,Some coll/Assoc degree,Other,Democrat,NA,6.259259259,0,2.086956522
202135,South,Approve,Not so strongly,Disapprove,Male,18-24,HS grad or less,"Hisp, born in US",Independent,Republican,7.333333333,0,2.391304348
202140,Midwest,Approve,Not so strongly,Approve,Male,18-24,Some coll/Assoc degree,White~Hisp,Democrat,NA,8.037037037,0,2.543478261
202196,South,Approve,Very strongly,Approve,Female,35-44,Coll+,Black~Hisp,Independent,Other/Don't know/Refused (VOL.),5.37037037,0,2.434782609
202202,South,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1.62962963,0,1.02173913
202210,South,Disapprove,Very strongly,Disapprove,Male,18-24,HS grad or less,White~Hisp,Independent,Democrat,5.222222222,0,1.673913043
202239,South,Approve,Very strongly,Approve,Female,18-24,Coll+,Black~Hisp,Democrat,NA,6.814814815,0,1.630434783
202248,Midwest,Disapprove,Very strongly,Disapprove,Male,25-34,HS grad or less,White~Hisp,Republican,NA,6.592592593,0,2.260869565
202276,Midwest,Disapprove,Not so strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Republican,NA,4.333333333,0,2
202284,South,Disapprove,Very strongly,Disapprove,Male,18-24,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.925925926,0,1.673913043
202294,South,Disapprove,Very strongly,Disapprove,Male,25-34,Coll+,White~Hisp,Republican,NA,4.481481481,0,1.043478261
202298,South,Disapprove,Very strongly,Disapprove,Female,18-24,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),6.407407407,0,1.652173913
202299,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,4.074074074,0,3.391304348
202305,Midwest,Approve,Very strongly,Disapprove,Female,65+,Coll+,Black~Hisp,Democrat,NA,1.222222222,0,1.695652174
202308,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.814814815,0,1.086956522
202321,West,Approve,Not so strongly,Approve,Male,45-54,Coll+,White~Hisp,Independent,Democrat,3.703703704,0,1.804347826
202339,Midwest,Approve,Very strongly,Approve,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Democrat,4.37037037,0,2.456521739
202340,West,Disapprove,Very strongly,Disapprove,Female,35-44,Some coll/Assoc degree,Other,Independent,Republican,7.62962963,0,2.456521739
202354,West,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Female,18-24,Some coll/Assoc degree,Other,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),8.296296296,0,3.065217391
202373,South,Disapprove,Very strongly,Disapprove,Female,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,5.740740741,0,1.891304348
202380,West,Approve,Not so strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.481481481,0,2
202393,South,Approve,Don't know/Refused (VOL.),Approve,Male,55-64,HS grad or less,Black~Hisp,Independent,Democrat,5.148148148,0,2.02173913
202406,West,Approve,Very strongly,Approve,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Democrat,3.518518519,0,1.956521739
202407,West,Disapprove,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,2.148148148,0,1
202414,West,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,Other,Independent,Republican,3.37037037,0,1.52173913
202418,West,Don't know/Refused (VOL.),NA,Approve,Female,45-54,Some coll/Assoc degree,Other,Democrat,NA,6.111111111,0,2.782608696
202423,West,Disapprove,Not so strongly,Disapprove,Male,25-34,Coll+,Other,No preference (VOL.),Democrat,5.074074074,0,1.195652174
202450,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,Ref,Republican,NA,2.888888889,0,2.434782609
202458,Midwest,Disapprove,Very strongly,Disapprove,Female,25-34,Coll+,White~Hisp,Independent,Republican,6.37037037,0,1.847826087
202473,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,1.814814815,0,2.195652174
202489,Midwest,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Independent,Republican,5.074074074,0,1.695652174
202506,South,Approve,Very strongly,Approve,Male,25-34,Some coll/Assoc degree,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),7.962962963,0,2.173913043
202510,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Republican,NA,1.962962963,0,1.065217391
202516,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Republican,NA,3.37037037,0,1.369565217
202521,South,Disapprove,Very strongly,Disapprove,Male,25-34,HS grad or less,White~Hisp,Independent,Republican,8,0,1.891304348
202526,Midwest,Approve,Not so strongly,Disapprove,Female,18-24,HS grad or less,"Hisp, born in US",Independent,Democrat,8.296296296,0,3.52173913
202547,South,Approve,Don't know/Refused (VOL.),Disapprove,Male,35-44,Some coll/Assoc degree,Black~Hisp,Democrat,NA,8.296296296,0,2.195652174
202589,South,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.592592593,0,1
202597,South,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Republican,4.111111111,0,1.717391304
202625,South,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Independent,Democrat,1.111111111,0,2.086956522
202631,South,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,4.925925926,0,1.673913043
202639,West,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Republican,NA,1.777777778,0,2.130434783
202648,West,Disapprove,Very strongly,Disapprove,Female,18-24,Coll+,White~Hisp,Republican,NA,5.037037037,0,1.673913043
202657,West,Disapprove,Very strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Republican,NA,6.037037037,0,3.260869565
202660,Midwest,Approve,Very strongly,Approve,Male,55-64,Some coll/Assoc degree,Other,Democrat,NA,3.555555556,0,1.5
202671,West,Don't know/Refused (VOL.),NA,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.703703704,0,1.195652174
202689,West,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,5,0,2.826086957
202692,West,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1.185185185,0,1.130434783
202699,Midwest,Disapprove,Very strongly,Disapprove,Male,25-34,Some coll/Assoc degree,White~Hisp,Republican,NA,6.148148148,0,1.97826087
202718,West,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,Black~Hisp,Democrat,NA,4.740740741,0,1.826086957
202739,West,Disapprove,Very strongly,Disapprove,Male,25-34,Some coll/Assoc degree,White~Hisp,Republican,NA,6.62962963,0,2.5
202749,South,Approve,Very strongly,Approve,Female,25-34,Some coll/Assoc degree,"Hisp, born in US",Democrat,NA,8.296296296,0,3.97826087
202763,West,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Independent,Republican,7.518518519,0,2.891304348
202777,West,Approve,Not so strongly,Disapprove,Female,18-24,Some coll/Assoc degree,"Hisp, born outside US",Democrat,NA,7.37037037,0,2.673913043
202782,West,Approve,Not so strongly,Disapprove,Female,65+,Coll+,White~Hisp,Independent,Republican,1.222222222,0,1.695652174
202792,West,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,2.222222222,0,2.956521739
202816,West,Approve,Not so strongly,Approve,Male,18-24,Coll+,White~Hisp,Independent,Democrat,2.851851852,0,1.043478261
202818,West,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),6.888888889,0,2.760869565
202834,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,3.074074074,0,2.130434783
202854,West,Disapprove,Very strongly,Disapprove,Female,25-34,Coll+,White~Hisp,Republican,NA,3.740740741,0,1.717391304
202870,West,Approve,Not so strongly,Approve,Male,55-64,HS grad or less,"Hisp, born in US",Democrat,NA,4.407407407,0,3.369565217
202876,West,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,6.666666667,0,3.739130435
202883,West,Disapprove,Very strongly,Disapprove,Male,25-34,Some coll/Assoc degree,"Hisp, born in US",Independent,Other/Don't know/Refused (VOL.),5.407407407,0,1.565217391
202909,South,Approve,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,1.740740741,0,1
202913,Northeast,Approve,Don't know/Refused (VOL.),Approve,Female,18-24,Coll+,White~Hisp,Democrat,NA,5.333333333,0,1.847826087
202931,Northeast,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Independent,Republican,2.074074074,0,1.847826087
202937,Northeast,Approve,Don't know/Refused (VOL.),Approve,Female,45-54,Coll+,Other,Democrat,NA,3.444444444,0,2.086956522
202952,South,Disapprove,Very strongly,Approve,Male,35-44,Coll+,Other,Independent,Other/Don't know/Refused (VOL.),6.074074074,0,1.652173913
202966,South,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,3.666666667,0,1.717391304
203017,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Democrat,6.444444444,0,2.347826087
203020,South,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Independent,Republican,4.111111111,0,1.934782609
203063,Northeast,Approve,Not so strongly,Approve,Female,35-44,Some coll/Assoc degree,White~Hisp,Independent,Democrat,7.62962963,0,3.97826087
203064,Midwest,Disapprove,Not so strongly,Disapprove,Male,35-44,HS grad or less,"Hisp, born outside US",Independent,Other/Don't know/Refused (VOL.),6.185185185,0,1.717391304
203071,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1.740740741,0,1.086956522
203079,South,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.740740741,0,1
203082,Midwest,Approve,Very strongly,Approve,Female,18-24,Coll+,White~Hisp,Democrat,NA,3.333333333,0,1.086956522
203097,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.296296296,0,2.152173913
203117,Northeast,Approve,Very strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,3.074074074,0,2.304347826
203121,South,Approve,Very strongly,Approve,Male,35-44,Some coll/Assoc degree,Other,Democrat,NA,7.962962963,0,2.826086957
203138,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,8.296296296,0,2.717391304
203150,South,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,4.62962963,0,3.043478261
203155,Northeast,Approve,Very strongly,Approve,Male,55-64,HS grad or less,Black~Hisp,Democrat,NA,6.666666667,0,2.326086957
203164,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Republican,NA,1.925925926,0,1.086956522
203173,South,Approve,Very strongly,Approve,Male,18-24,HS grad or less,Black~Hisp,Democrat,NA,6.259259259,0,1.652173913
203223,Northeast,Disapprove,Not so strongly,Don't know/Refused (VOL.),Female,55-64,Coll+,White~Hisp,Independent,Democrat,2.259259259,0,1.891304348
203230,South,Disapprove,Not so strongly,Approve,Male,65+,Coll+,White~Hisp,Independent,Democrat,1.666666667,0,1
203240,Midwest,Disapprove,Not so strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Republican,NA,8.222222222,0,3.97826087
203243,Northeast,Approve,Very strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,3.074074074,0,2.304347826
203258,South,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,2.296296296,0,1.152173913
203270,South,Approve,Very strongly,Approve,Female,25-34,HS grad or less,Black~Hisp,Democrat,NA,8.296296296,0,2.5
203277,Northeast,Disapprove,Not so strongly,Disapprove,Male,25-34,Coll+,Black~Hisp,Democrat,NA,4.074074074,0,1.782608696
203288,South,Don't know/Refused (VOL.),NA,Approve,Female,18-24,HS grad or less,Black~Hisp,No preference (VOL.),Democrat,6.37037037,0,2.239130435
203293,South,Disapprove,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Republican,4.185185185,0,2.130434783
203294,South,Approve,Not so strongly,Approve,Male,45-54,Some coll/Assoc degree,Black~Hisp,Independent,Democrat,4.037037037,0,1.804347826
203316,South,Approve,Not so strongly,Approve,Female,45-54,HS grad or less,White~Hisp,Democrat,NA,5,0,1.652173913
203322,Midwest,Disapprove,Very strongly,Disapprove,Female,35-44,Some coll/Assoc degree,White~Hisp,No preference (VOL.),Republican,4.703703704,0,3.304347826
203323,Northeast,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,5.222222222,0,2.565217391
203337,Midwest,Disapprove,Not so strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,4.703703704,0,3.97826087
203348,Northeast,Approve,Very strongly,Disapprove,Male,45-54,HS grad or less,Black~Hisp,Republican,NA,8.259259259,0,2.891304348
203371,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,18-24,HS grad or less,White~Hisp,Independent,Democrat,6.185185185,0,2.304347826
203380,Midwest,Approve,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,4.37037037,0,2.456521739
203390,Midwest,Approve,Very strongly,Approve,Female,25-34,HS grad or less,White~Hisp,Independent,Democrat,8.296296296,0,3.52173913
203402,South,Disapprove,Very strongly,Disapprove,Female,35-44,Coll+,White~Hisp,Republican,NA,3.814814815,0,1.586956522
203404,South,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,Black~Hisp,Democrat,NA,4.740740741,0,1.826086957
203444,Northeast,Disapprove,Very strongly,Approve,Male,45-54,Coll+,White~Hisp,Republican,NA,2.185185185,0,1.565217391
203453,South,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,5.037037037,0,2.086956522
203456,Northeast,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.888888889,0,1.847826087
203464,South,Approve,Not so strongly,Approve,Male,35-44,HS grad or less,"Hisp, born outside US",Republican,NA,6.407407407,0,1.673913043
203466,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,2.62962963,0,3.97826087
203471,South,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,1.592592593,0,1
203477,Midwest,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,8.296296296,0,2.391304348
203509,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Republican,4.777777778,0,2.195652174
203519,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,2.148148148,0,1
203536,Northeast,Disapprove,Not so strongly,Approve,Male,25-34,Coll+,White~Hisp,Independent,Republican,3,0,1.717391304
203541,South,Approve,Very strongly,Approve,Female,35-44,Coll+,Black~Hisp,Democrat,NA,2.777777778,0,1.630434783
203549,South,Disapprove,Very strongly,Disapprove,Male,25-34,Coll+,White~Hisp,Republican,NA,4.851851852,0,1
203550,South,Approve,Not so strongly,Approve,Male,18-24,HS grad or less,Other,Democrat,NA,8.296296296,0,2.434782609
203551,South,Approve,Not so strongly,Approve,Male,18-24,HS grad or less,White~Hisp,Independent,Republican,4.518518519,0,1.369565217
203560,South,Disapprove,Very strongly,Disapprove,Male,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,4.407407407,0,1.47826087
203566,Midwest,Disapprove,Not so strongly,Approve,Male,25-34,Coll+,White~Hisp,Democrat,NA,3,0,1.086956522
203573,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Republican,NA,1.814814815,0,1.217391304
203574,South,Don't know/Refused (VOL.),NA,Approve,Male,25-34,Some coll/Assoc degree,White~Hisp,Independent,Democrat,8.296296296,0,2.065217391
203593,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,2.592592593,0,2.195652174
203596,South,Approve,Very strongly,Approve,Female,18-24,HS grad or less,Other,Republican,NA,8.296296296,0,2.52173913
203624,Midwest,Approve,Not so strongly,Disapprove,Female,35-44,HS grad or less,"Hisp, born outside US",Democrat,NA,8.296296296,0,3.97826087
203634,South,Approve,Not so strongly,Approve,Male,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.407407407,0,2.02173913
203640,South,Approve,Very strongly,Approve,Male,18-24,HS grad or less,Other,Independent,Other/Don't know/Refused (VOL.),4.259259259,0,2.065217391
203664,South,Disapprove,Very strongly,Disapprove,Male,25-34,Coll+,White~Hisp,Republican,NA,2.407407407,0,1
203726,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.740740741,0,1.260869565
203731,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Independent,Republican,3.074074074,0,1.413043478
203738,Northeast,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Female,45-54,HS grad or less,"Hisp, born in US",Democrat,NA,4.777777778,0,2.217391304
203742,Midwest,Approve,Very strongly,Approve,Male,25-34,Coll+,Other,Independent,Republican,5.148148148,0,1.413043478
203752,Northeast,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Independent,Democrat,2.37037037,0,1.47826087
203757,South,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,1.740740741,0,1
203825,South,Approve,Not so strongly,Approve,Male,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,3.444444444,0,1.347826087
203827,Midwest,Disapprove,Very strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Independent,Republican,2.925925926,0,1.760869565
203846,Midwest,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Independent,Republican,3.555555556,0,1.630434783
